frame_idx,dx_to_prev,dy_to_prev,dtheta_to_prev,a00,a01,a02,a10,a11,a12
99,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
100,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
101,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
102,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
103,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
104,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
105,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
106,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
107,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
108,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
109,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
110,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
111,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
112,0.300000,0.300000,0.000000,1.000000000,0.000000000,1.700000525,0.000000000,1.000000000,0.499999881
113,-0.100000,-0.100000,0.000000,1.000000000,0.000000000,1.600000501,0.000000000,1.000000000,0.399999887
114,-0.300000,-0.300000,0.000000,1.000000000,0.000000000,1.300000429,0.000000000,1.000000000,0.099999875
115,0.300000,0.300000,0.000000,1.000000000,0.000000000,1.600000381,0.000000000,1.000000000,0.399999887
116,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.600000381,0.000000000,1.000000000,0.399999887
117,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.600000381,0.000000000,1.000000000,0.399999887
118,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.600000381,0.000000000,1.000000000,0.399999887
119,0.200000,0.200000,0.000000,1.000000000,0.000000000,1.800000429,0.000000000,1.000000000,0.599999905
120,-0.200000,-0.200000,0.000000,1.000000000,0.000000000,1.600000381,0.000000000,1.000000000,0.399999917
121,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.600000381,0.000000000,1.000000000,0.399999917
122,0.300000,0.300000,0.000000,1.000000000,0.000000000,1.900000334,0.000000000,1.000000000,0.699999928
123,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.900000334,0.000000000,1.000000000,0.699999928
124,1.000000,0.500000,0.000000,1.000000000,0.000000000,2.900000334,0.000000000,1.000000000,1.199999928
125,-1.000000,-0.500000,0.000000,1.000000000,0.000000000,1.900000334,0.000000000,1.000000000,0.699999928
126,0.300000,0.300000,0.000000,1.000000000,0.000000000,2.200000286,0.000000000,1.000000000,0.999999940
127,0.000000,0.000000,0.000000,1.000000000,0.000000000,2.200000286,0.000000000,1.000000000,0.999999940
128,-0.200000,-0.200000,0.000000,1.000000000,0.000000000,2.000000238,0.000000000,1.000000000,0.799999952
129,-0.300000,0.000000,0.000000,1.000000000,0.000000000,1.700000286,0.000000000,1.000000000,0.799999952
130,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.700000286,0.000000000,1.000000000,0.799999952
131,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.700000286,0.000000000,1.000000000,0.799999952
132,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.700000286,0.000000000,1.000000000,0.799999952
133,0.500000,0.500000,0.000000,1.000000000,0.000000000,2.200000286,0.000000000,1.000000000,1.299999952
134,-1.000000,-0.500000,0.000000,1.000000000,0.000000000,1.200000286,0.000000000,1.000000000,0.799999952
135,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000286,0.000000000,1.000000000,0.799999952
136,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000286,0.000000000,1.000000000,0.799999952
137,0.000000,0.300000,0.000000,1.000000000,0.000000000,1.200000286,0.000000000,1.000000000,1.099999905
138,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000286,0.000000000,1.000000000,1.099999905
139,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000286,0.000000000,1.000000000,1.099999905
140,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000286,0.000000000,1.000000000,1.099999905
141,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000286,0.000000000,1.000000000,1.099999905
142,0.000000,0.500000,0.000000,1.000000000,0.000000000,1.200000286,0.000000000,1.000000000,1.599999905
143,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000286,0.000000000,1.000000000,1.599999905
144,0.000000,-0.200000,0.000000,1.000000000,0.000000000,1.200000286,0.000000000,1.000000000,1.399999857
