frame_idx,dx_to_prev,dy_to_prev,dtheta_to_prev,a00,a01,a02,a10,a11,a12
80,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
81,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
82,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
83,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
84,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
85,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
86,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
87,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
88,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
89,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
90,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
91,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
92,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
93,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
94,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
95,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
96,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
97,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
98,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
99,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
100,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
101,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
102,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
103,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
104,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
105,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
106,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
107,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
108,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
109,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
110,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
111,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
112,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
113,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
114,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
115,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
116,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
117,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
118,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
119,4.500000,1.500000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
120,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
121,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
122,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
123,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
124,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
